,0.157,0.17,0.188,0.215,0.288,0.406,0.595,0.654,0.768,0.86,0.965,0.979,1,1.1,1.143,1.172,1.213,1.231,1.26,1.98,2.09,2.507,3.157,12.24,Total LCAP
JJS-21-017-DILUENTJJS-21-017.xls,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,10.22,74.18,9.46,2.81,100
JJS-21-017-FILLALLJJS-21-017.xls,0.01,0.05,0.10,0.01,0.13,0.28,0.21,0.00,0.01,0.01,0.00,0.09,97.84,0.00,0.24,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-FILLALL_2JJS-21-017.xls,0.00,0.05,0.08,0.00,0.14,0.28,0.22,0.00,0.01,0.01,0.00,0.09,98.03,0.00,0.17,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-FILTER-AVGJJS-21-017.xls,0.01,0.05,0.09,0.00,0.13,0.28,0.22,0.00,0.01,0.01,0.00,0.09,97.99,0.00,0.26,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-FILTERENDJJS-21-017.xls,0.01,0.05,0.09,0.00,0.13,0.28,0.21,0.00,0.01,0.00,0.00,0.09,98.02,0.00,0.25,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-M1JJS-21-017.xls,0.00,0.05,0.05,0.00,0.11,0.32,0.21,0.00,0.01,0.01,0.00,0.08,98.95,0.00,0.19,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-M2JJS-21-017.xls,0.00,0.05,0.02,0.00,0.18,0.34,0.29,0.00,0.01,0.01,0.00,0.08,98.77,0.01,0.19,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-M3JJS-21-017.xls,0.00,0.05,0.07,0.00,0.15,0.31,0.24,0.00,0.01,0.01,0.00,0.08,98.03,0.00,0.19,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-M4JJS-21-017.xls,0.00,0.05,0.04,0.00,0.22,0.34,0.31,0.00,0.01,0.01,0.00,0.08,98.39,0.00,0.21,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-M5JJS-21-017.xls,0.01,0.05,0.06,0.00,0.18,0.28,0.27,0.00,0.01,0.01,0.00,0.08,98.46,0.00,0.16,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-PF1JJS-21-017.xls,0.01,0.05,0.13,0.00,0.14,0.30,0.23,0.19,0.00,0.00,0.00,0.09,96.99,0.00,0.25,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,99.9002235
JJS-21-017-PF2JJS-21-017.xls,0.01,0.05,0.10,0.00,0.13,0.28,0.21,0.00,0.01,0.00,0.00,0.09,97.72,0.00,0.24,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-PF3JJS-21-017.xls,0.01,0.05,0.09,0.00,0.12,0.28,0.21,0.00,0.01,0.00,0.00,0.09,98.01,0.00,0.23,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-PF4JJS-21-017.xls,0.00,0.05,0.09,0.00,0.12,0.28,0.21,0.00,0.01,0.01,0.00,0.09,98.01,0.00,0.25,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-PF5JJS-21-017.xls,0.00,0.05,0.09,0.00,0.12,0.28,0.21,0.00,0.00,0.00,0.00,0.09,97.95,0.00,0.29,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-S1JJS-21-017.xls,0.01,0.05,0.09,0.00,0.24,0.31,0.29,0.00,0.01,0.01,0.00,0.09,97.76,0.00,0.27,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-S2JJS-21-017.xls,0.01,0.05,0.09,0.00,0.12,0.28,0.21,0.00,0.01,0.01,0.00,0.09,98.03,0.00,0.25,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-S3JJS-21-017.xls,0.01,0.05,0.10,0.00,0.12,0.29,0.21,0.00,0.01,0.01,0.00,0.09,98.75,0.00,0.17,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-S4JJS-21-017.xls,0.01,0.05,0.09,0.00,0.12,0.28,0.21,0.00,0.01,0.00,0.00,0.09,98.02,0.00,0.25,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,100
JJS-21-017-S5JJS-21-017.xls,0.01,0.05,0.10,0.00,0.12,0.29,0.21,0.00,0.01,0.01,0.00,0.09,98.70,0.00,0.17,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,100